repeat_count	rule	file	line	all_files
2	DOMAIN-SUFFIX,symcd.com	rule/Proxy/Proxy.list	459	rule/Proxy/Proxy.list | rule/domestic/Domestic.list
2	DOMAIN-SUFFIX,symcd.com	rule/domestic/Domestic.list	260	rule/Proxy/Proxy.list | rule/domestic/Domestic.list
2	DOMAIN-SUFFIX,tenor.com	rule/Proxy/Proxy.list	689	rule/Proxy/Proxy.list | rule/microsoft/Microsoft.list
2	DOMAIN-SUFFIX,tenor.com	rule/microsoft/Microsoft.list	559	rule/Proxy/Proxy.list | rule/microsoft/Microsoft.list
2	DOMAIN-SUFFIX,totheglory.im	rule/domestic/Domestic.list	271	rule/domestic/Domestic.list | rule/domestic/Special.list
2	DOMAIN-SUFFIX,totheglory.im	rule/domestic/Special.list	135	rule/domestic/Domestic.list | rule/domestic/Special.list
2	DOMAIN-SUFFIX,trello.com	rule/Proxy/Proxy.list	500	rule/Proxy/Proxy.list | rule/domestic/Domestic.list
2	DOMAIN-SUFFIX,trello.com	rule/domestic/Domestic.list	272	rule/Proxy/Proxy.list | rule/domestic/Domestic.list
2	DOMAIN-SUFFIX,uplynk.com	rule/media/Discovery Plus.list	10	rule/media/Discovery Plus.list | rule/media/Fox Now.list
2	DOMAIN-SUFFIX,uplynk.com	rule/media/Fox Now.list	5	rule/media/Discovery Plus.list | rule/media/Fox Now.list
2	DOMAIN-SUFFIX,viu.com	rule/Proxy/Proxy.list	565	rule/Proxy/Proxy.list | rule/media/ViuTV.list
2	DOMAIN-SUFFIX,viu.com	rule/media/ViuTV.list	11	rule/Proxy/Proxy.list | rule/media/ViuTV.list
2	DOMAIN-SUFFIX,xdrig.com	rule/adblock/AdBlock.list	8217	rule/adblock/AdBlock.list | rule/domestic/Domestic.list
2	DOMAIN-SUFFIX,xdrig.com	rule/domestic/Domestic.list	294	rule/adblock/AdBlock.list | rule/domestic/Domestic.list
2	DOMAIN-SUFFIX,ykimg.com	rule/domestic/Domestic.list	311	rule/domestic/Domestic.list | rule/media/Youku.list
2	DOMAIN-SUFFIX,ykimg.com	rule/media/Youku.list	4	rule/domestic/Domestic.list | rule/media/Youku.list
